Ticker,Industry,Business
2330.TW,半導體業,"台灣 半導體 Manufacturing 公司 有限公司, 及其 子公司, 製造, packages, tests, and 銷售 積體電路 and other 半導體 devices in 台灣, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It 提供 various wafer..."
9914.TW,運動休閒,"Merida Industry Co., Ltd., 及其 子公司, 製造 and 銷售 bicycles and 零組件 in 台灣, China, Hong Kong, Japan, and Europe. The company offers mountain bikes, road bikes, fitness bikes, gravel bikes, trekking bikes, and e-bikes, as well as bikes for youth and kids. It a..."
1605.TW,電器電纜,"Walsin Lihwa Corporation 從事 the manufacture and sale of wires and cables, and stainless-steel 產品 in Asia, the United States, Europe, and internationally. The company operates through Wires and Cables; Stainless Steel; Resource; 房地產; and Administration and Investing segments. It..."
3034.TW,半導體業,"Novatek Micro電子s Corp., a fabless chip 設計 company, 設計s, 開發 and 銷售 a range of 顯示器 driver 積體電路 (IC) and system-on-a-chip (SoC) solutions in 台灣, Asia, and internationally. The company offers 顯示器 driver ICs for LCD 顯示器s, televisions (TVs), notebook..."
3105.TWO,半導體業,"WIN 半導體s Corp., 及其 子公司, 從事 the 研發, manufacturing, marketing, and sales of gallium arsenide (GaAs) 晶圓 in 台灣, Asia, the United States, and Europe. It offers GaAs monolithic microwave ICs (MMIC) and radio frequency ICs, as well as ..."
3665.TW,其他電子業,"BizLink Holding Inc., 及其 子公司, 提供 connection harness application solutions in the United States, China, Germany, Malaysia, 台灣, Italy, Slovak, and internationally. It operates through Computing and Transportation, 工業 Application, and Home Appliance segments. T..."
6443.TW,光電業,"TSEC Corporation 從事 the 研發, production, and sales of 太陽能 cells and modules in Asia, Europe, and internationally. The company operates through 太陽能 Module and Other segments. It is involved in the sale of 太陽能 related 產品; 能源 storage system of regulation res..."
1504.TW,電機機械,"TECO Electric & 機械 Co., Ltd. 從事 the production, sales and installation of various mechanical 設備 in 台灣, the United States, Mainland China, and internationally. It offers electrical 設備 產品 and transformers; 電力 management system, such as mobile prefabricated ele..."
00757.TW,未知,-
0056.TW,未知,-
3680.TWO,半導體業,"Gudeng Precision 工業 Co., Ltd. 提供 科技 服務 worldwide. The company offers wafer handling solutions, including 航運 boxes, cassette boxes, wafer cassettes, and front opening wafer transfer boxes, as well as FOUP 產品; and reticle handling solutions, such as reticle boxe..."
0052.TW,未知,-
00643.TW,未知,-
2474.TW,其他電子業,"Catcher 科技 Co., Ltd., 及其 子公司, 從事 the manufacture and sale of aluminum and magnesium extrusions, alloy housings, and molds in 台灣, China, the United States, Singapore, and internationally. Its 產品 include chassis and interior mechanical 零組件; uppe..."
2486.TW,光電業,"I-Chiun Precision Industry Co., Ltd. 製造, processes, and trades 機械 and parts, 電子 零組件, electrical 零組件, 半導體 LED lead frames, precision molds, and ceramic circuit boards in 台灣, China, and internationally. The company offers opto電子 產品, in..."
2340.TW,半導體業,"台灣-Asia 半導體 Corporation 從事 the manufacture and sale of 半導體 零組件 in 台灣 and internationally. The company offers sensing devices, such as photodiode, phototransistor, and phototriac; 電力 devices, including 電力 MOSFET, TVS diode, zener diode, and resistor; a..."
8039.TW,電子零組件業,"Taiflex Scientific Co., Ltd., an investment holding company, 從事 the manufacture, 批發, and 零售 of 電子 parts and 零組件 in 台灣, Mainland China, and internationally. The company offers flexible copper-clad laminate and cover layer; generation and selling of electricity fr..."
2347.TW,電子通路業,"Synnex 科技 International Corporation, 及其 子公司, distributes information, communication, 消費性, and 半導體 產品. The company is involved in assembling and selling 電腦s and 電腦 peripherals, and other information 產品; the sale of 消費性 electr..."
6547.TWO,生技醫療業,"Medigen Vaccine Biologics Corporation, a bio科技 drug company, 從事 the research, development, and 批發 of vaccines and biopharmaceuticals, and 醫療 devices in 台灣. It 開發 enterovirus A71 vaccine, which is in Phase III clinical trial to treat enterovirus infection with se..."
5425.TWO,半導體業,"台灣 半導體 Co., Ltd. 製造 and 銷售 rectifiers and bar code printers in Asia, the United States, Europe, and internationally. It offers discrete devices, including schottky rectifier, bridge, standard rectifier, protection diode, MOSFETs, general purpose and low transistor, small s..."
3702.TW,電子通路業,"WPG Holdings 有限公司, 及其 子公司, operates as a 半導體 零組件 distributor in 台灣, Mainland China, and internationally. It operates through World Peace 工業 Subgroup, Pingjiazi Group Co., Quandingzi Group Co., Yosun Subgroup, Trigold Group Co., and Others segme..."
3406.TW,光電業,"Genius 電子 光學 Co.,Ltd., an investment holding company, 從事 the manufacture, processing, and trade of 光學 instruments, molds, lighting 設備, and related spare parts in 台灣 and China. The company 提供 鏡頭, including 醫療, car, humanoid robot, 工業 AI, and..."
2377.TW,電腦及週邊設備業,"Micro-Star International Co., Ltd. 從事 the manufacture and sale of motherboards, interface cards, notebook 電腦s, and other 電子 產品 in Asia, Europe, the United States, and internationally. Its 產品 portfolio includes laptops, handhelds, monitors and desktop 電腦s, grap..."
00639.TW,未知,-
2605.TW,觀光餐旅,"Sincere Navigation Corporation, a 航運 transportation company, owns and operates bulk cargo vessels in 台灣. Its fleet includes dry bulk carriers, tankers, and woodchip carriers. Sincere Navigation Corporation serves coal and iron ore miner, steel, 能源, and paper industries. The company was..."
2323.TW,光電業,"CMC Magnetics Corporation 從事 the manufacture and sales of 光學 discs and peripheral 產品 in 台灣, the Americas, the rest of Asia, Europe, and internationally. It is involved in the manufacturing and trading of photo電子 產品; trading other 電子 產品; and manufact..."
4938.TW,電腦及週邊設備業,"Pegatron Corporation, 及其 子公司, 設計s, 開發, 製造, and 銷售 電腦, communication, and 消費性 電子 產品 in Europe, the United States, 台灣, China, Japan, and internationally. The company offers notebooks, desktops, PCs, motherboards, rugged comput..."
