Industry,Pair,Name1,Name2,Z_Window,Profit_Factor,Coint_PValue,Avg_OU_HalfLife,Sharpe_Ratio,Win_Rate,Trades,Total_Return_Pct
通信網路業,3045.TW_2412.TW,3045,2412,20,4.228265706741562,0.0890197642653966,,0.0,68.13725490196079,204,60.02471966569543
半導體業,8150.TW_3006.TW,8150,3006,60,4.103186119096616,5.328841276152645e-05,,0.0,58.91472868217055,129,236.63482594900142
半導體業,6223.TWO_5274.TWO,6223O,5274O,20,4.10184617641441,0.03750121200599814,,0.0,67.97752808988764,178,7897.778995676589
半導體業,6257.TW_3264.TWO,6257,3264O,60,3.9398331820735555,0.00017356059193519518,,0.0,64.28571428571429,140,65.01129230091858
通信網路業,3045.TW_2412.TW,3045,2412,60,3.8444141766692206,0.0890197642653966,,0.0,66.66666666666666,135,45.67108555183399
電子通路業,3702.TW_3036.TW,3702,3036,60,3.2841423948220063,0.03560002858892795,,0.0,63.70370370370371,135,99.67710001916139
電子零組件業,6290.TWO_2368.TW,6290O,2368,60,3.234264402187881,0.0002582872913424815,,0.0,51.11111111111111,135,440.96583587768157
電子零組件業,2327.TW_6173.TWO,2327,6173O,60,2.965513889509916,0.05067971010827697,,0.0,60.95890410958904,146,61.290912684011566
半導體業,2344.TW_3260.TWO,2344,3260O,20,2.923247883311026,1.756356307713464e-07,,0.0,62.10526315789474,190,173.17161762766648
觀光餐旅,2606.TW_2603.TW,2606,2603,20,2.8709787427532114,0.01047302784560808,,0.0,66.4804469273743,179,128.71541080139534
電子零組件業,2327.TW_6173.TWO,2327,6173O,20,2.836543676247826,0.05067971010827697,,0.0,67.96116504854369,206,77.17016459644115
通信網路業,2345.TW_2455.TW,2345,2455,60,2.766722912438479,0.04585691384526781,,0.0,58.992805755395686,139,354.76439975928133
半導體業,3264.TWO_2303.TW,3264O,2303,20,2.7351555450587117,0.007428174107104481,,0.0,68.25396825396825,189,54.893628157299105
半導體業,5274.TWO_3711.TW,5274O,3711,20,2.7218205598701677,4.4364158692785316e-05,,0.0,62.0,200,2092.0677068506848
半導體業,6271.TW_3006.TW,6271,3006,60,2.664227348645311,0.005391629314853431,,0.0,59.3984962406015,133,201.825850837761
電子零組件業,2308.TW_2368.TW,2308,2368,20,2.6584656132682296,0.0008640561767454545,,0.0,61.016949152542374,177,534.7656883278081
半導體業,6257.TW_3264.TWO,6257,3264O,20,2.623676875148026,0.00017356059193519518,,0.0,61.53846153846154,195,49.76147059747296
半導體業,6257.TW_3006.TW,6257,3006,60,2.588039658183543,0.0607673784926213,,0.0,59.72222222222222,144,144.84189310266493
通信網路業,5388.TW_6245.TWO,5388,6245O,20,2.5856575204221635,0.06426717776381274,,0.0,68.02030456852792,197,113.8432294185105
電腦及週邊設備業,3706.TW_3211.TWO,3706,3211O,60,2.568247239120758,0.04643384751489687,,0.0,62.77372262773723,137,144.61247301714897
半導體業,2441.TW_3006.TW,2441,3006,60,2.5443306612297856,0.020271558893662587,,0.0,58.51851851851851,135,82.06007792307284
