Industry,Pair,Sharpe,Total Return %,MDD %,Win Rate %,Trades,Coint P-Value,Parameters
電腦及週邊設備業,6121.TWO_3005.TW,1.4,459.78588706901525,24.3740653000277,74.46808510638297,47,0.0004,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電腦及週邊設備業,6121.TWO_6414.TW,0.9,271.6154428529053,31.97174465342642,67.27272727272727,55,0.0827,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電腦及週邊設備業,6414.TW_2324.TW,1.17,428.6380911576919,25.968397673946786,72.1311475409836,61,0.0046,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電腦及週邊設備業,8163.TW_2353.TW,1.33,508.0874770177227,41.74083799251018,70.0,60,0.0819,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電腦及週邊設備業,4938.TW_6121.TWO,1.29,316.80698692471276,18.458388273346596,76.0,50,0.082,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電子通路業,3702.TW_3036.TW,1.11,344.5073237236941,29.36799202491927,70.9090909090909,55,0.458,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電子零組件業,2327.TW_6173.TWO,0.78,143.91479213754263,32.80152810165739,73.49397590361446,83,0.4491,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電子零組件業,8039.TW_3653.TW,0.91,787.3213963964538,65.92667063990044,73.68421052631578,76,1.0,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電子零組件業,2327.TW_2492.TW,1.11,208.45374481265247,20.93668308870239,63.29113924050633,79,0.6046,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電子零組件業,6269.TW_6153.TW,1.45,565.7942463850635,17.542214365521453,73.33333333333333,75,0.0085,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電子零組件業,6269.TW_6153.TW,1.14,337.1261973303065,22.471658719638764,69.81132075471697,53,0.0085,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電子零組件業,6290.TWO_6274.TWO,0.7,267.8557198522796,66.75549679150257,54.0,50,0.4073,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
電子零組件業,2492.TW_6153.TW,1.03,546.2541903344,38.2763373099997,58.333333333333336,60,0.4855,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
通信網路業,3045.TW_2412.TW,1.29,73.32432302597047,7.8072669238953685,67.07317073170732,82,0.4864,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
其他電子業,2404.TW_3324.TWO,0.83,857.975237341309,86.3548024492542,61.111111111111114,54,0.0753,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
紡織纖維,1440.TW_1476.TW,1.26,373.1976947798769,32.123476865366726,72.97297297297297,74,0.4233,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6182.TWO_2401.TW,1.32,897.8071029929886,40.66637659134159,67.44186046511628,86,0.9598,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6257.TW_2337.TW,1.08,451.0756347626418,33.28122860906244,61.25000000000001,80,0.7867,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6223.TWO_5274.TWO,1.6,8236.008643023131,41.55906725726259,73.84615384615385,65,0.0029,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,5425.TWO_6271.TW,1.29,601.301727317108,25.33454928593476,69.01408450704226,71,0.4358,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,2330.TW_6271.TW,1.08,395.83179848867786,32.85707352163462,64.51612903225806,62,1.0,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,5425.TWO_3532.TW,1.11,733.3236748788755,54.78999787727437,68.05555555555556,72,0.1656,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,2340.TW_6271.TW,0.99,402.35216244567863,41.98722750088819,70.37037037037037,54,0.4869,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 60, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
半導體業,6488.TWO_2401.TW,1.24,779.5460023190309,48.395366545830285,68.29268292682927,82,0.9652,"{""z_method"": ""\u6b77\u53f2\u5747\u503c(\u9810\u8a2d)"", ""z_window"": 20, ""z_entry"": 2.0, ""z_exit"": 0.0, ""ou"": false}"
