Industry,Pair,Name1,Name2,Z_Window,Profit_Factor,Coint_PValue,Avg_OU_HalfLife,Sharpe_Ratio,Win_Rate,Trades,Total_Return_Pct
觀光餐旅,2606.TW_2603.TW,2606,2603,20,2.8709787427532114,0.01047302784560808,,0.0,66.4804469273743,179,128.71541080139534
電機機械,1513.TW_1503.TW,1513,1503,60,2.3376907753193974,0.0034061258601307937,,0.0,71.22302158273382,139,122.91492143202949
電機機械,1513.TW_1503.TW,1513,1503,20,2.087753975533927,0.0034061258601307937,,0.0,65.96858638743456,191,105.237541834614
航運業,2548.TW_2515.TW,2548,2515,60,1.9500278840025493,0.00072041170053423,,0.0,63.63636363636363,132,20.73891746240999
電機機械,2049.TW_1590.TW,2049,1590,20,1.836831143706219,0.13217469024751566,,0.0,61.6580310880829,193,800.6975352682505
紡織纖維,1440.TW_1476.TW,1440,1476,20,1.7414721045796149,0.14250164937542387,,0.0,65.82914572864321,199,172.07873623069764
觀光餐旅,2606.TW_2603.TW,2606,2603,60,1.721700837850576,0.01047302784560808,,0.0,60.15625,128,55.678914213428584
貿易百貨,2892.TW_2886.TW,2892,2886,20,1.7089173945120064,0.07050594728792094,,0.0,65.21739130434783,184,4.181513194538078
觀光餐旅,2610.TW_2609.TW,2610,2609,60,1.647685665502017,0.0011555108609165984,,0.0,59.12408759124088,137,26.24882035909657
化學工業,1718.TW_1717.TW,1718,1717,60,1.6404711447271365,0.0021636251003449257,,0.0,53.284671532846716,137,20.790365380334784
橡膠工業,2002.TW_2014.TW,2002,2014,20,1.6178218919818121,0.06249449915140032,,0.0,62.77777777777778,180,8.844712291528833
電機機械,2049.TW_1590.TW,2049,1590,60,1.588330402452254,0.13217469024751566,,0.0,60.28368794326241,141,485.4000346885682
紡織纖維,1440.TW_1476.TW,1440,1476,60,1.565548542498383,0.14250164937542387,,0.0,58.86524822695035,141,117.88495411557771
未知,006205.TW_0050.TW,006205,0050,20,1.5589231331465465,0.1873154343373572,,0.0,53.97727272727273,176,17.981206609680257
航運業,2515.TW_5534.TW,2515,5534,60,1.5512277452339593,0.09757632457692483,,0.0,63.970588235294116,136,15.414256667141956
生技醫療業,4123.TWO_8436.TWO,4123O,8436O,60,1.5459904774778834,0.08110177321348472,,0.0,59.84848484848485,132,92.43142436862968
未知,006206.TW_00772B.TWO,006206,00772BO,60,1.5235090233385273,0.10939434678056581,,0.0,53.78787878787878,132,10.49221319682303
