Pair,Z_Window,Profit_Factor,Coint_PValue,Win_Rate,Trades,MDD,MAE,MFE,Total_Return
2606(2606.TW) vs 2603(2603.TW),20,2.0537016034928084,0.01047302784560808,68.85245901639344,61,208292.4914474486,-140389.404296875,98731.70471191422,59.6079270203095
1513(1513.TW) vs 1503(1503.TW),60,2.5384786683767673,0.0034061258601307937,70.2127659574468,47,506372.6403137202,-281120.23925781227,216701.20239257812,108.24566204600514
2548(2548.TW) vs 2515(2515.TW),60,2.6563234040006583,0.00072041170053423,76.08695652173914,46,78584.39022033685,-78306.15234375006,44600.00228881836,20.945713714574786
1440(1440.TW) vs 1476(1476.TW),20,2.069745153561316,0.14250164937542387,70.96774193548387,62,264704.00738021836,-191976.7608642578,87473.66333007798,76.95078690240477
2892(2892.TW) vs 2886(2886.TW),20,1.891955098222638,0.07050594728792094,68.42105263157895,57,31749.33102104196,-13100.013732910156,7400.0244140625,2.9378916412734712
3045(3045.TW) vs 2412(2412.TW),20,5.629950080407397,0.0890197642653966,74.66666666666667,75,47695.64000000013,-39000.0,34955.718994140625,50.89663825549338
3702(3702.TW) vs 3036(3036.TW),60,3.64697174119533,0.03560002858892795,68.62745098039215,51,169848.9739727783,-168999.96948242188,142694.07653808594,91.69991358753975
2344(2344.TW) vs 3260O(3260.TWO),20,5.430272804624301,1.756356307713464e-07,71.875,64,407615.27251129155,-407083.80126953125,415200.0427246094,174.593468956993
8150(8150.TW) vs 3006(3006.TW),60,8.884972114451989,5.328841276152645e-05,72.3404255319149,47,268400.0396728518,-83927.36816406234,601799.9801635742,207.02770401096356
2327(2327.TW) vs 2492(2492.TW),20,2.3045380732813956,0.5163219294658056,71.1864406779661,59,220700.2234384158,-139942.7490234375,84000.0,35.06367396856693
