日期,動作,部位描述,2344.TW(N/A)多空,3260.TWO(N/A)多空,2344.TW價,3260.TWO價,2344.TW口數,3260.TWO口數,保證金佔用,Z-Score,交易成本,損益,開倉Z
2022-01-03,[網格1] 開倉(做多配對),做空2344.TW(N/A) 5口 / 做多3260.TWO(N/A) 2口,做空,做多,29.41,70.57,5,2,77804.0,-1.22,222.0,0.0,
2022-01-11,[網格1] 停利平倉(做多配對),停利平倉: 做空2344.TW(N/A) 5口 / 做多3260.TWO(N/A) 2口,平倉(買回),平倉(賣出),27.48,67.84,5,2,73737.0,0.36,221.0,8124.0,-1.22
2022-01-17,[網格1] 開倉(做多配對),做空2344.TW(N/A) 7口 / 做多3260.TWO(N/A) 3口,做空,做多,28.03,66.75,7,3,107051.0,-1.15,316.0,0.0,
2022-01-19,[網格1] 結算平倉(做多配對),做空2344.TW(N/A) 7口 / 做多3260.TWO(N/A) 3口,平倉(買回),平倉(賣出),27.89,66.52,7,3,0.0,-0.91,316.0,208.0,-1.15
2022-01-20,[網格1] 轉倉開倉(做多配對),做空2344.TW(N/A) 7口 / 做多3260.TWO(N/A) 3口,做空,做多,28.17,65.82,7,3,106555.0,-1.73,316.0,0.0,
2022-02-07,[網格1] 停利平倉(做多配對),停利平倉: 做空2344.TW(N/A) 7口 / 做多3260.TWO(N/A) 3口,平倉(買回),平倉(賣出),27.85,67.07,7,3,106957.0,0.15,316.0,11642.0,-1.73
2022-02-08,[網格1] 開倉(做多配對),做空2344.TW(N/A) 7口 / 做多3260.TWO(N/A) 3口,做空,做多,29.18,67.14,7,3,109531.0,-2.38,316.0,0.0,
2022-02-08,[網格2] 開倉(做多配對),做空2344.TW(N/A) 7口 / 做多3260.TWO(N/A) 3口,做空,做多,29.18,67.14,7,3,109531.0,-2.38,316.0,0.0,
2022-02-16,[網格1] 結算平倉(做多配對),做空2344.TW(N/A) 7口 / 做多3260.TWO(N/A) 3口,平倉(買回),平倉(賣出),31.01,70.88,7,3,0.0,-1.71,317.0,-3560.0,-2.38
2022-02-16,[網格2] 結算平倉(做多配對),做空2344.TW(N/A) 7口 / 做多3260.TWO(N/A) 3口,平倉(買回),平倉(賣出),31.01,70.88,7,3,0.0,-1.71,317.0,-3560.0,-2.38
2022-02-17,[網格1] 轉倉開倉(做多配對),做空2344.TW(N/A) 9口 / 做多3260.TWO(N/A) 4口,做空,做多,32.06,71.03,9,4,154628.0,-2.52,413.0,0.0,
2022-02-17,[網格2] 轉倉開倉(做多配對),做空2344.TW(N/A) 9口 / 做多3260.TWO(N/A) 4口,做空,做多,32.06,71.03,9,4,154628.0,-2.52,413.0,0.0,
2022-02-22,[網格1] 停利平倉(做多配對),停利平倉: 做空2344.TW(N/A) 9口 / 做多3260.TWO(N/A) 4口,平倉(買回),平倉(賣出),31.28,75.0,9,4,314043.0,0.78,413.0,45346.0,-2.52
2022-02-23,[網格2] 停利平倉(做多配對),停利平倉: 做空2344.TW(N/A) 9口 / 做多3260.TWO(N/A) 4口,平倉(買回),平倉(賣出),31.88,77.41,9,4,161073.0,1.25,414.0,53923.0,-2.52
2022-02-23,[網格1] 開倉(做空配對),做多2344.TW(N/A) 5口 / 做空3260.TWO(N/A) 2口,做多,做空,31.88,77.41,5,2,245914.0,1.25,223.0,0.0,
2022-03-10,[網格1] 停利平倉(做空配對),停利平倉: 做多2344.TW(N/A) 5口 / 做空3260.TWO(N/A) 2口,平倉(賣出),平倉(買回),30.51,70.72,5,2,79372.0,-0.77,222.0,12801.0,1.25
2022-03-11,[網格1] 開倉(做多配對),做空2344.TW(N/A) 9口 / 做多3260.TWO(N/A) 4口,做空,做多,30.83,69.56,9,4,150027.0,-1.72,412.0,0.0,
2022-03-14,[網格2] 開倉(做多配對),做空2344.TW(N/A) 9口 / 做多3260.TWO(N/A) 4口,做空,做多,31.33,69.01,9,4,301326.0,-2.24,412.0,0.0,
2022-03-16,[網格1] 結算平倉(做多配對),做空2344.TW(N/A) 9口 / 做多3260.TWO(N/A) 4口,平倉(買回),平倉(賣出),29.91,65.43,9,4,0.0,-1.6,411.0,-16910.0,-1.72
2022-03-16,[網格2] 結算平倉(做多配對),做空2344.TW(N/A) 9口 / 做多3260.TWO(N/A) 4口,平倉(買回),平倉(賣出),29.91,65.43,9,4,0.0,-1.6,411.0,-3484.0,-2.24
