日期,動作,部位描述,2606.TW(N/A)多空,2603.TW(N/A)多空,2606.TW價,2603.TW價,2606.TW口數,2603.TW口數,保證金佔用,Z-Score,交易成本,損益,開倉Z
2022-01-06,[網格1] 開倉(做空配對),做多2606.TW(N/A) 3口 / 做空2603.TW(N/A) 1口,做多,做空,47.64,134.89,3,1,75007.0,1.06,131.0,0.0,
2022-01-13,[網格1] 停利平倉(做空配對),停利平倉: 做多2606.TW(N/A) 3口 / 做空2603.TW(N/A) 1口,平倉(賣出),平倉(買回),45.97,118.85,3,1,69327.0,-0.58,130.0,21938.0,1.06
2022-01-21,[網格1] 開倉(做多配對),做空2606.TW(N/A) 5口 / 做多2603.TW(N/A) 2口,做空,做多,43.51,108.95,5,2,117571.0,-1.08,227.0,0.0,
2022-01-25,[網格1] 停利平倉(做多配對),停利平倉: 做空2606.TW(N/A) 5口 / 做多2603.TW(N/A) 2口,平倉(買回),平倉(賣出),41.37,103.76,5,2,111875.0,0.25,227.0,458.0,-1.08
2022-02-09,[網格1] 開倉(做多配對),做空2606.TW(N/A) 8口 / 做多2603.TW(N/A) 3口,做空,做多,46.29,121.68,8,3,198548.0,-1.05,359.0,0.0,
2022-02-16,[網格1] 結算平倉(做多配對),做空2606.TW(N/A) 8口 / 做多2603.TW(N/A) 3口,平倉(買回),平倉(賣出),48.04,125.93,8,3,0.0,-1.73,360.0,-2839.0,-1.05
2022-02-17,[網格1] 轉倉開倉(做多配對),做空2606.TW(N/A) 8口 / 做多2603.TW(N/A) 3口,做空,做多,47.4,125.93,8,3,204387.0,-0.58,360.0,0.0,
2022-02-18,[網格1] 停利平倉(做多配對),停利平倉: 做空2606.TW(N/A) 8口 / 做多2603.TW(N/A) 3口,平倉(買回),平倉(賣出),48.35,133.48,8,3,212557.0,0.76,361.0,29672.0,-0.58
2022-02-21,[網格1] 開倉(做空配對),做多2606.TW(N/A) 3口 / 做空2603.TW(N/A) 1口,做多,做空,48.51,138.66,3,1,76734.0,2.13,131.0,0.0,
2022-02-21,[網格2] 開倉(做空配對),做多2606.TW(N/A) 3口 / 做空2603.TW(N/A) 1口,做多,做空,48.51,138.66,3,1,76734.0,2.13,131.0,0.0,
2022-03-10,[網格1] 停利平倉(做空配對),停利平倉: 做多2606.TW(N/A) 3口 / 做空2603.TW(N/A) 1口,平倉(賣出),平倉(買回),52.08,147.15,3,1,163840.0,-0.91,132.0,4326.0,2.13
2022-03-16,[網格2] 結算平倉(做空配對),做多2606.TW(N/A) 3口 / 做空2603.TW(N/A) 1口,平倉(賣出),平倉(買回),48.91,134.89,3,1,0.0,-0.91,131.0,9797.0,2.13
