Pair,Z_Window,Profit_Factor,Coint_PValue,Win_Rate,Trades,MDD,MAE,MFE,Total_Return
2606(2606.TW) vs 2603(2603.TW),20,1.5482926098964445,0.01047302784560808,64.02116402116403,189,447876.39459533594,-241053.268432617,213582.20672607422,107.67879862963872
1513(1513.TW) vs 1503(1503.TW),60,1.5126961407024386,0.0034061258601307937,59.01639344262295,122,819864.146881712,-341002.8381347649,294453.857421875,118.83151511552418
2548(2548.TW) vs 2515(2515.TW),60,2.4554820835272344,0.00072041170053423,67.93893129770993,131,182338.9181439206,-78724.9755859375,87160.91918945312,50.18109968762965
1440(1440.TW) vs 1476(1476.TW),20,1.8739396948007823,0.14250164937542387,66.31016042780749,187,991433.5417849717,-465614.6850585932,202065.41442871082,220.26468469415286
2892(2892.TW) vs 2886(2886.TW),20,1.5503609603762856,0.07050594728792094,67.1875,192,97230.18336265616,-26900.634765625,15129.543304443345,5.613883895957961
3045(3045.TW) vs 2412(2412.TW),20,2.690651055424122,0.0890197642653966,71.42857142857143,231,217121.42309570243,-78000.0,67000.0,109.25379608468653
3702(3702.TW) vs 3036(3036.TW),60,1.6180493355379715,0.03560002858892795,60.431654676258994,139,725898.5856939708,-267420.88317871094,285388.1530761719,99.12848603425593
2344(2344.TW) vs 3260O(3260.TWO),20,1.4506485718743094,1.756356307713464e-07,71.57360406091371,197,4374290.52272461,-1862000.0,830400.0854492188,182.40469819658279
8150(8150.TW) vs 3006(3006.TW),60,3.918038336532161,5.328841276152645e-05,70.4225352112676,142,875655.9044656372,-567355.6518554688,720199.9893188477,389.9146884860916
2327(2327.TW) vs 2492(2492.TW),20,1.7100521650078409,0.5163219294658056,64.58333333333334,192,558246.1932833864,-279885.498046875,223408.5693359375,85.65416680999778
