Pair,Z_Window,Profit_Factor,Coint_PValue,Win_Rate,Trades,MDD,MAE,MFE,Total_Return
2606(2606.TW) vs 2603(2603.TW),20,2.268637391565865,0.01047302784560808,63.1578947368421,57,271073.78972442634,-113382.080078125,160856.7657470703,60.39384021514902
1513(1513.TW) vs 1503(1503.TW),60,2.6170698693514653,0.0034061258601307937,55.88235294117647,34,464017.38074859546,-168738.43383789016,143431.70166015602,70.81922663269037
2548(2548.TW) vs 2515(2515.TW),60,2.9236011904761905,0.00072041170053423,66.66666666666666,33,74966.88670166011,-27826.339721679688,48199.99313354492,18.523392285118078
1440(1440.TW) vs 1476(1476.TW),20,1.6985559689333043,0.14250164937542387,66.66666666666666,57,427454.1760292052,-191976.7608642578,145066.41387939465,57.98172831759647
2892(2892.TW) vs 2886(2886.TW),20,1.6450449310213897,0.07050594728792094,66.0377358490566,53,40708.031846313854,-13450.3173828125,7400.0244140625,2.7673006928329524
3045(3045.TW) vs 2412(2412.TW),20,4.08737322801105,0.0890197642653966,68.57142857142857,70,107446.20635742159,-39000.0,62000.0,44.986505619873206
3702(3702.TW) vs 3036(3036.TW),60,2.8589268415257907,0.03560002858892795,60.97560975609756,41,225344.91185241682,-78000.0,142694.07653808594,55.3670715027772
2344(2344.TW) vs 3260O(3260.TWO),20,4.555620520434374,1.756356307713464e-07,67.24137931034483,58,935275.741577148,-407083.80126953125,540200.0427246094,160.65094813883968
8150(8150.TW) vs 3006(3006.TW),60,8.32200822691044,5.328841276152645e-05,70.58823529411765,34,541817.5659179692,-106386.83319091769,601799.9801635742,176.1045480629578
2327(2327.TW) vs 2492(2492.TW),20,1.6344530879664116,0.5163219294658056,66.66666666666666,54,309518.79054656986,-139942.7490234375,92000.0,19.08451034771732
