日期,動作,部位描述,2344.TW(N/A)多空,3260.TWO(N/A)多空,2344.TW價,3260.TWO價,2344.TW口數,3260.TWO口數,保證金佔用,Z-Score,交易成本,損益,開倉Z
2022-02-08,[網格1] 開倉(做多配對),做空2344.TW(N/A) 7口 / 做多3260.TWO(N/A) 3口,做空,做多,29.18,67.14,7,3,109531.0,-2.38,316.0,0.0,
2022-02-16,[網格1] 結算平倉(做多配對),做空2344.TW(N/A) 7口 / 做多3260.TWO(N/A) 3口,平倉(買回),平倉(賣出),31.01,70.88,7,3,0.0,-1.71,317.0,-3560.0,-2.38
2022-02-17,[網格1] 轉倉開倉(做多配對),做空2344.TW(N/A) 9口 / 做多3260.TWO(N/A) 4口,做空,做多,32.06,71.03,9,4,154628.0,-2.52,413.0,0.0,
2022-02-22,[網格1] 停利平倉(做多配對),停利平倉: 做空2344.TW(N/A) 9口 / 做多3260.TWO(N/A) 4口,平倉(買回),平倉(賣出),31.28,75.0,9,4,157022.0,0.78,413.0,45346.0,-2.52
2022-03-14,[網格1] 開倉(做多配對),做空2344.TW(N/A) 9口 / 做多3260.TWO(N/A) 4口,做空,做多,31.33,69.01,9,4,150663.0,-2.24,412.0,0.0,
2022-03-16,[網格1] 結算平倉(做多配對),做空2344.TW(N/A) 9口 / 做多3260.TWO(N/A) 4口,平倉(買回),平倉(賣出),29.91,65.43,9,4,0.0,-1.6,411.0,-3484.0,-2.24
2022-03-17,[網格1] 轉倉開倉(做多配對),做空2344.TW(N/A) 2口 / 做多3260.TWO(N/A) 1口,做空,做多,31.97,68.47,2,1,35750.0,-2.06,95.0,0.0,
2022-03-24,[網格1] 停利平倉(做多配對),停利平倉: 做空2344.TW(N/A) 2口 / 做多3260.TWO(N/A) 1口,平倉(買回),平倉(賣出),29.5,67.07,2,1,34036.0,0.02,95.0,6998.0,-2.06
2022-04-06,[網格1] 開倉(做空配對),做多2344.TW(N/A) 5口 / 做空3260.TWO(N/A) 2口,做多,做空,26.75,67.77,5,2,72705.0,2.31,221.0,0.0,
2022-04-18,[網格1] 停利平倉(做空配對),停利平倉: 做多2344.TW(N/A) 5口 / 做空3260.TWO(N/A) 2口,平倉(賣出),平倉(買回),24.96,55.86,5,2,63866.0,-0.17,219.0,29533.0,2.31
2022-05-18,[網格1] 開倉(做多配對),做空2344.TW(N/A) 2口 / 做多3260.TWO(N/A) 1口,做空,做多,26.75,56.95,2,1,29822.0,-2.07,94.0,0.0,
2022-05-31,[網格1] 停利平倉(做多配對),停利平倉: 做空2344.TW(N/A) 2口 / 做多3260.TWO(N/A) 1口,平倉(買回),平倉(賣出),26.84,59.05,2,1,30438.0,0.7,95.0,3740.0,-2.07
2022-06-13,[網格1] 開倉(做空配對),做多2344.TW(N/A) 9口 / 做空3260.TWO(N/A) 4口,做多,做空,24.5,55.08,9,4,119038.0,2.67,408.0,0.0,
2022-06-15,[網格1] 結算平倉(做空配對),做多2344.TW(N/A) 9口 / 做空3260.TWO(N/A) 4口,平倉(賣出),平倉(買回),24.6,55.71,9,4,0.0,2.24,408.0,-3738.0,2.67
2022-06-16,[網格1] 轉倉開倉(做空配對),做多2344.TW(N/A) 9口 / 做空3260.TWO(N/A) 4口,做多,做空,24.21,54.23,9,4,117388.0,1.63,407.0,0.0,
