Pair,Z_Window,Profit_Factor,Coint_PValue,Win_Rate,Trades,MDD,MAE,MFE,Total_Return
2606(2606.TW) vs 2603(2603.TW),20,1.7545065907082282,0.01047302784560808,68.05555555555556,72,576939.0722605892,-280778.80859375,160856.7657470703,59.05138502827456
1513(1513.TW) vs 1503(1503.TW),60,3.258819941166949,0.0034061258601307937,68.51851851851852,54,1024244.9199322506,-272290.06958007836,433402.40478515625,167.80015151222202
2548(2548.TW) vs 2515(2515.TW),60,2.318561120849829,0.00072041170053423,60.46511627906976,43,78742.60289154062,-33607.72705078131,89200.00457763672,18.962215210292843
1440(1440.TW) vs 1476(1476.TW),20,1.7248030111760493,0.14250164937542387,67.16417910447761,67,540969.1445733634,-383953.5217285156,160343.2540893554,67.52851358125314
2892(2892.TW) vs 2886(2886.TW),20,2.0317526321917465,0.07050594728792094,67.79661016949152,59,35981.42065292399,-14303.718566894473,7400.0244140625,3.97351837979123
3045(3045.TW) vs 2412(2412.TW),20,5.829829759874766,0.0890197642653966,73.49397590361446,83,172000.0,-78000.0,94000.0,62.10080658407606
3702(3702.TW) vs 3036(3036.TW),60,3.415901206317838,0.03560002858892795,66.12903225806451,62,278335.8635424804,-209199.951171875,239600.09765624953,110.14216043426516
2344(2344.TW) vs 3260O(3260.TWO),20,5.1037281456551,1.756356307713464e-07,70.83333333333334,72,935275.7415771477,-407083.80126953125,540200.0427246094,196.85197068978115
8150(8150.TW) vs 3006(3006.TW),60,9.052182023011431,5.328841276152645e-05,69.64285714285714,56,541817.5659179692,-106386.83319091769,1203599.9603271484,260.30944887516785
2327(2327.TW) vs 2492(2492.TW),20,2.8049447014027145,0.5163219294658056,75.0,68,298640.7069088749,-139942.7490234375,105493.95751953142,60.38543678778068
