Pair,Stock1,Stock2,Price_Corr,Coint_pvalue,Coint_score
1513.TW-6414.TW,1513.TW,6414.TW,0.9618420946611901,1.1472475541320312e-06,-6.069591848721826
8039.TW-2327.TW,8039.TW,2327.TW,0.9285235212304553,2.5547087253629533e-06,-5.908206237674018
2515.TW-6239.TW,2515.TW,6239.TW,0.8912959916068544,5.49290036634386e-06,-5.750628826196207
3260.TWO-8299.TWO,3260.TWO,8299.TWO,0.9631072560601976,6.638429949412671e-06,-5.7111009792915866
2515.TW-8112.TW,2515.TW,8112.TW,0.9355825260287378,7.119255745792107e-06,-5.696451749567463
2059.TW-2404.TW,2059.TW,2404.TW,0.9627536509430369,7.143185240712987e-06,-5.695748001186309
3552.TWO-2002.TW,3552.TWO,2002.TW,0.8514943290092488,8.285707300081349e-06,-5.664558346573094
00679B.TWO-00687B.TWO,00679B.TWO,00687B.TWO,0.9988248161115099,2.7509629563502466e-05,-5.40670766110382
6116.TW-2014.TW,6116.TW,2014.TW,0.8876474578082372,4.275565823074157e-05,-5.309188238958726
3264.TWO-2368.TW,3264.TWO,2368.TW,0.9425701286711895,7.200677738395331e-05,-5.19173942025721
1718.TW-1909.TW,1718.TW,1909.TW,0.9318577428214663,8.235258614583387e-05,-5.161083266216551
6153.TW-6505.TW,6153.TW,6505.TW,0.8679018986106187,8.524939000263943e-05,-5.1531606984253955
2454.TW-6005.TW,2454.TW,6005.TW,0.9650743230577388,9.105724545373765e-05,-5.138024403052575
6153.TW-1326.TW,6153.TW,1326.TW,0.8888866665550592,0.00012872288230595226,-5.05780242637341
3017.TW-6257.TW,3017.TW,6257.TW,0.9685129047791574,0.0001365603257729171,-5.04398096483268
2449.TW-3653.TW,2449.TW,3653.TW,0.969171648654443,0.00020294100293483333,-4.9503530844853465
2376.TW-2356.TW,2376.TW,2356.TW,0.9692177011251693,0.0002031944906452399,-4.950055250117757
5534.TW-4938.TW,5534.TW,4938.TW,0.8863125246534349,0.00021203370950751706,-4.9398846567448516
1440.TW-2014.TW,1440.TW,2014.TW,0.905413520216999,0.00022055969954111587,-4.9304495203730365
2392.TW-6176.TW,2392.TW,6176.TW,0.9156833880585467,0.00024144621644054957,-4.908725600338898
5534.TW-1503.TW,5534.TW,1503.TW,0.8820030744511405,0.00025657985182017543,-4.894073802944699
3017.TW-3653.TW,3017.TW,3653.TW,0.9781333908606717,0.00027255757110992675,-4.879469679929008
2439.TW-1609.TW,2439.TW,1609.TW,0.8617785148827921,0.0002848108434203535,-4.868810262706341
3714.TW-2014.TW,3714.TW,2014.TW,0.8690645084874815,0.0003183737073513408,-4.841698738542684
00687B.TWO-3714.TW,00687B.TWO,3714.TW,0.8933659328946355,0.00033890016234963064,-4.826423864458157
6414.TW-6188.TWO,6414.TW,6188.TWO,0.9500584889116619,0.00034044154675754145,-4.825312491246736
5009.TWO-6245.TWO,5009.TWO,6245.TWO,0.9258714650329464,0.0003594999276274329,-4.811951183831217
00679B.TWO-3714.TW,00679B.TWO,3714.TW,0.8963530746795264,0.00036464270144743663,-4.8084606392716625
6547.TWO-2014.TW,6547.TWO,2014.TW,0.8749584624180773,0.00037399996541353814,-4.802227444497804
6239.TW-3036.TW,6239.TW,3036.TW,0.8674629497831672,0.00038544040381208476,-4.794804039513616
2474.TW-2542.TW,2474.TW,2542.TW,0.8689244546594125,0.0004181551674434574,-4.774672250604488
6257.TW-3653.TW,6257.TW,3653.TW,0.9577342173254969,0.0004310820793198785,-4.767125435906083
3552.TWO-6116.TW,3552.TWO,6116.TW,0.8675702386960804,0.0004536311018799545,-4.754458852199943
