日期,1513.TW價,6414.TW價,Z-Score,持倉,未實現損益,累計已實現損益,凍結保證金,帳戶淨值,動作
2021-07-06,42.029422760009766,180.67755126953125,0.40271787430207945,0,0.0,0.0,0.0,200000.0,
2021-07-07,42.029422760009766,184.81202697753903,0.8319815899828192,0,0.0,0.0,0.0,200000.0,
2021-07-08,41.945194244384766,189.77340698242188,1.3402815751894843,0,0.0,0.0,0.0,200000.0,
2021-07-09,41.35560607910156,190.18687438964844,1.4364873048801436,0,0.0,0.0,0.0,200000.0,
2021-07-12,41.8609733581543,193.49449157714844,1.7101531506985326,0,0.0,0.0,0.0,200000.0,
2021-07-13,41.8609733581543,193.90792846679688,1.741124399122708,0,0.0,0.0,0.0,200000.0,
2021-07-14,41.31349182128906,193.0810546875,1.7113517734672368,0,0.0,0.0,0.0,200000.0,
2021-07-15,42.2821044921875,195.1482696533203,1.8151734918338889,0,0.0,0.0,0.0,200000.0,
2021-07-16,42.2821044921875,192.6675720214844,1.5594943875246734,0,0.0,0.0,0.0,200000.0,
2021-07-19,42.78746795654297,188.946533203125,1.1551894564439844,0,0.0,0.0,0.0,200000.0,
2021-07-20,41.945194244384766,185.22547912597656,0.8853880807016146,0,0.0,0.0,0.0,200000.0,
2021-07-21,41.31349182128906,183.5716857910156,0.7919749586212785,0,0.0,0.0,0.0,200000.0,
2021-07-22,41.4398307800293,185.22547912597656,0.9560232334052515,0,0.0,0.0,0.0,200000.0,
2021-07-23,41.73462677001953,184.81202697753903,0.8986609400536628,0,0.0,0.0,0.0,200000.0,
2021-07-26,41.90308380126953,188.5330810546875,1.2531602965461253,0,0.0,0.0,0.0,200000.0,
2021-07-27,42.95592498779297,187.70620727539065,1.0571304571221702,0,0.0,0.0,0.0,200000.0,
2021-07-28,42.3663330078125,186.8792724609375,1.0070026113433042,0,0.0,0.0,0.0,200000.0,
2021-07-29,42.2821044921875,186.8792724609375,0.9863569176094951,0,0.0,0.0,0.0,200000.0,
2021-07-30,42.534786224365234,185.22547912597656,0.783458857956344,0,0.0,0.0,0.0,200000.0,
2021-08-02,42.1978759765625,187.70620727539065,1.0337327419338949,0,0.0,0.0,0.0,200000.0,
2021-08-03,42.2821044921875,187.70620727539065,0.9992459862911468,0,0.0,0.0,0.0,200000.0,
2021-08-04,42.87169647216797,187.292724609375,0.8767519084130339,0,0.0,0.0,0.0,200000.0,
2021-08-05,42.61901473999024,186.05239868164065,0.7561815598299196,0,0.0,0.0,0.0,200000.0,
2021-08-06,42.113651275634766,183.9851226806641,0.579898998213372,0,0.0,0.0,0.0,200000.0,
2021-08-09,41.4398307800293,181.09100341796875,0.3275776187995994,0,0.0,0.0,0.0,200000.0,
2021-08-10,40.59756088256836,177.78338623046875,0.028127827596709856,0,0.0,0.0,0.0,200000.0,
2021-08-11,39.881622314453125,173.23544311523438,-0.4333653300025345,0,0.0,0.0,0.0,200000.0,
2021-08-12,40.09218978881836,175.7161407470703,-0.22035189705032354,0,0.0,0.0,0.0,200000.0,
2021-08-13,39.67105865478516,171.16819763183594,-0.7793713236909351,0,0.0,0.0,0.0,200000.0,
2021-08-16,39.12358093261719,165.79335021972656,-1.4674223065430119,0,0.0,0.0,0.0,200000.0,
2021-08-17,39.12358093261719,164.55300903320312,-1.6532678799636291,0,0.0,0.0,0.0,200000.0,
2021-08-18,39.33414840698242,167.860595703125,-1.247237650107165,0,0.0,0.0,0.0,200000.0,
2021-08-19,38.74455642700195,162.89920043945312,-1.7935006116824859,0,0.0,0.0,0.0,200000.0,
2021-08-20,38.74455642700195,162.07229614257812,-1.8608003487649956,0,0.0,0.0,0.0,200000.0,
2021-08-23,39.50260162353516,165.37989807128906,-1.506029045490459,0,0.0,0.0,0.0,200000.0,
2021-08-24,39.881622314453125,164.55300903320312,-1.6179251757377022,0,0.0,0.0,0.0,200000.0,
2021-08-25,40.17642593383789,167.860595703125,-1.2264256576572055,0,0.0,0.0,0.0,200000.0,
2021-08-26,40.09218978881836,164.96644592285156,-1.5520575912726398,0,0.0,0.0,0.0,200000.0,
2021-08-27,40.17642593383789,164.1395721435547,-1.632514884137247,0,0.0,0.0,0.0,200000.0,
2021-08-30,40.850242614746094,162.48573303222656,-1.8586552491410016,0,0.0,0.0,0.0,200000.0,
2021-08-31,41.27137756347656,161.6588592529297,-1.955683858047149,0,0.0,0.0,0.0,200000.0,
2021-09-01,41.22926330566406,164.96644592285156,-1.5417609853760998,0,0.0,0.0,0.0,200000.0,
2021-09-02,40.850242614746094,163.31263732910156,-1.643246891584958,0,0.0,0.0,0.0,200000.0,
2021-09-03,41.01869583129883,166.20680236816406,-1.2912936841679636,0,0.0,0.0,0.0,200000.0,
2021-09-06,40.30276107788086,160.83193969726562,-1.740480280213971,0,0.0,0.0,0.0,200000.0,
2021-09-07,40.61176300048828,160.00506591796875,-1.7846823368061961,0,0.0,0.0,0.0,200000.0,
2021-09-08,39.72890090942383,155.0436553955078,-2.100310400035851,1,0.0,-67.79090225219727,52588.59020233154,199932.2090977478,"開倉: 多Spread (多6414.TW×1, 空1513.TW×1)"
2021-09-09,39.81718444824219,157.52435302734375,-1.7763654237572277,1,4784.828186035156,-67.79090225219727,53282.2151184082,204717.03728378296,
2021-09-10,40.2144775390625,159.1781768798828,-1.5876531262063027,1,7297.889709472656,-67.79090225219727,53836.016693115234,207230.09880722046,
2021-09-13,40.12619018554688,157.93780517578125,-1.637887162715115,1,4993.721008300767,-67.79090225219727,53477.278747558594,204925.9301060486,
2021-09-14,40.17033386230469,157.11090087890625,-1.6617382607899056,1,3251.6250610351562,-67.79090225219727,53265.93338012695,203183.83415878296,
2021-09-15,40.655906677246094,156.28399658203125,-1.7101219840735808,1,626.6708374023438,-67.79090225219727,53173.77388000488,200558.87993515015,
2021-09-16,40.87662124633789,155.87054443359375,-1.6918068383128844,1,-641.66259765625,-67.79090225219727,53121.73473358154,199290.54650009156,
2021-09-17,40.52347946166992,158.76470947265625,-1.3618454717616568,1,5852.9510498046875,-67.79090225219727,53807.81101226807,205785.1601475525,
2021-09-22,40.25861740112305,159.5915985107422,-1.229495943488578,1,8036.4532470703125,-67.79090225219727,53959.55829620361,207968.66234481812,
