股票期貨、 選擇權 商品代碼,標的證券,證券代號,標的證券 簡稱,是否為 股票期貨 標的,是否為 股票選擇權 標的,是否為 股票選擇權週契約 標的,上市普通股 標的證券,上櫃普通股 標的證券,上市ETF 標的證券,上櫃ETF 標的證券,標準型證 券股數/ 受益權單位,一般交易時段 交易時間 (期貨、選擇權契約),盤後交易時段 交易時間 (期貨契約)
CA,南亞塑膠工業股份有限公司,1303,南亞,●  是股票期貨標的,●  是股票選擇權標的,●  是股票選擇權週契約標的,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CB,中國鋼鐵股份有限公司,2002,中鋼,●  是股票期貨標的,●  是股票選擇權標的,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CC,聯華電子股份有限公司,2303,聯電,●  是股票期貨標的,●  是股票選擇權標的,●  是股票選擇權週契約標的,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,17:25~次日05:00
CD,台灣積體電路製造股份有限公司,2330,台積電,●  是股票期貨標的,●  是股票選擇權標的,●  是股票選擇權週契約標的,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,17:25~次日05:00
CE,富邦金融控股股份有限公司,2881,富邦金,●  是股票期貨標的,●  是股票選擇權標的,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CF,台灣塑膠工業股份有限公司,1301,台塑,●  是股票期貨標的,●  是股票選擇權標的,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CG,仁寶電腦工業股份有限公司,2324,仁寶,●  是股票期貨標的,●  是股票選擇權標的,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CH,友達光電股份有限公司,2409,友達,●  是股票期貨標的,●  是股票選擇權標的,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CJ,華南金融控股股份有限公司,2880,華南金,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CK,國泰金融控股股份有限公司,2882,國泰金,●  是股票期貨標的,●  是股票選擇權標的,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CL,兆豐金融控股股份有限公司,2886,兆豐金,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CM,台新新光金融控股股份有限公司,2887,台新新光金,●  是股票期貨標的,●  是股票選擇權標的,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CN,中國信託金融控股股份有限公司,2891,中信金,●  是股票期貨標的,●  是股票選擇權標的,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CQ,統一企業股份有限公司,1216,統一,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CR,遠東新世紀股份有限公司,1402,遠東新,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CS,華新麗華股份有限公司,1605,華新,●  是股票期貨標的,●  是股票選擇權標的,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CU,中環股份有限公司,2323,中環,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CW,佳世達科技股份有限公司,2352,佳世達,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
CX,大同股份有限公司,2371,大同,●  是股票期貨標的,,,◎  是上市普通股標的證券,,,,2000.0,8:45~13:45,-
